subj_mean,name,psnr,psnr_sal,subj_std
5.56757,i01_01_2.bmp,30.073753356933594,30.07925033569336,0.13013
4.94444,i01_01_3.bmp,26.99808120727539,27.002124786376953,0.16008
4.37838,i01_01_4.bmp,24.016231536865234,24.030305862426758,0.15186
3.8648599999999997,i01_01_5.bmp,21.015684127807617,21.043262481689453,0.11046
6.028569999999999,i01_02_1.bmp,33.22933578491211,33.23021697998047,0.10229
6.10811,i01_02_2.bmp,30.231964111328125,30.23263168334961,0.16896
5.38889,i01_02_3.bmp,27.204015731811523,27.210046768188477,0.17001
4.71429,i01_02_4.bmp,24.247848510742188,24.265064239501953,0.16795
4.36111,i01_02_5.bmp,21.230751037597656,21.25977325439453,0.10358
4.7714300000000005,i01_03_1.bmp,33.09185791015625,33.09616470336914,0.13695
4.27027,i01_03_2.bmp,30.05134391784668,30.054630279541016,0.12832
3.7027,i01_03_3.bmp,26.986597061157227,26.992359161376953,0.13594
3.19444,i01_03_4.bmp,24.004249572753906,24.010746002197266,0.10719
2.71429,i01_03_5.bmp,21.021984100341797,21.045732498168945,0.09477
5.971430000000001,i01_04_1.bmp,33.00105285644531,33.096012115478516,0.09537
5.75676,i01_04_2.bmp,29.919998168945312,30.024860382080078,0.13694
5.27027,i01_04_3.bmp,26.84699058532715,26.958545684814453,0.15946
5.24324,i01_04_4.bmp,24.08740234375,24.20757484436035,0.17368
4.71429,i01_04_5.bmp,20.95447540283203,21.083648681640625,0.16398
5.91892,i01_05_1.bmp,32.99777603149414,32.998748779296875,0.13138
5.7027,i01_05_2.bmp,29.997575759887695,29.99923324584961,0.15934
5.08333,i01_05_3.bmp,25.008983612060547,25.01667022705078,0.17036
4.13889,i01_05_4.bmp,20.01919937133789,20.047748565673828,0.13249
3.13889,i01_05_5.bmp,15.016674041748047,15.090291976928711,0.09744
4.0,i01_06_1.bmp,33.33856201171875,33.04452133178711,0.09744
3.89189,i01_06_2.bmp,29.984655380249023,29.698068618774414,0.11467
3.7297300000000004,i01_06_3.bmp,26.92868995666504,26.683151245117188,0.16566
3.4857099999999996,i01_06_4.bmp,24.043182373046875,23.741605758666992,0.10571
2.94444,i01_06_5.bmp,20.991321563720703,20.75298309326172,0.08448
5.08333,i01_07_1.bmp,33.28892135620117,33.298316955566406,0.11072
4.75,i01_07_2.bmp,30.266237258911133,30.247539520263672,0.15404
4.0,i01_07_3.bmp,27.12799835205078,27.114612579345703,0.13249
3.22222,i01_07_4.bmp,24.069721221923828,24.017871856689453,0.11111
2.19444,i01_07_5.bmp,21.129657745361328,20.982141494750977,0.11188
5.18919,i01_08_1.bmp,34.01247024536133,34.1276741027832,0.11666
4.47222,i01_08_2.bmp,29.18564224243164,29.29262924194336,0.13151
3.4864900000000003,i01_08_3.bmp,25.33687973022461,25.436321258544922,0.13314
3.0,i01_08_4.bmp,22.81947898864746,22.89516258239746,0.11856
2.11111,i01_08_5.bmp,21.083271026611328,21.119400024414062,0.09035
6.08333,i01_09_1.bmp,32.70259094238281,32.90042495727539,0.10956
5.16667,i01_09_2.bmp,30.141115188598633,30.279762268066406,0.18162
4.42857,i01_09_3.bmp,26.941375732421875,26.99800682067871,0.15466
2.81081,i01_09_4.bmp,24.049043655395508,24.056114196777344,0.12313
1.54054,i01_09_5.bmp,21.0452938079834,20.881298065185547,0.10701
5.97297,i01_10_1.bmp,33.12515640258789,33.281009674072266,0.11205
5.94595,i01_10_2.bmp,30.2635498046875,30.453567504882812,0.15519
4.91667,i01_10_3.bmp,27.05712890625,27.14340591430664,0.16192
3.21622,i01_10_4.bmp,23.92538070678711,23.97884750366211,0.15404
2.08108,i01_10_5.bmp,20.900070190429688,20.627901077270508,0.10902
5.91429,i01_11_1.bmp,33.01564025878906,33.21240997314453,0.15934
