,subj_mean,name,psnr,psnr_sal
0,5.56757,i01_01_2.bmp,30.073753356933594,30.093385696411133
1,4.94444,i01_01_3.bmp,26.99808120727539,27.01270294189453
2,4.37838,i01_01_4.bmp,24.016231536865234,24.064550399780273
3,3.86486,i01_01_5.bmp,21.015684127807617,21.085176467895508
4,6.02857,i01_02_1.bmp,33.22933578491211,33.23209762573242
5,6.10811,i01_02_2.bmp,30.231964111328125,30.23397445678711
6,5.38889,i01_02_3.bmp,27.204015731811523,27.22286033630371
7,4.71429,i01_02_4.bmp,24.247848510742188,24.300586700439453
8,4.36111,i01_02_5.bmp,21.230751037597656,21.33426284790039
9,4.77143,i01_03_1.bmp,33.09185791015625,33.10285568237305
10,4.27027,i01_03_2.bmp,30.05134391784668,30.060104370117188
11,3.7027,i01_03_3.bmp,26.986597061157227,27.000253677368164
12,3.19444,i01_03_4.bmp,24.004249572753906,24.017322540283203
13,2.71429,i01_03_5.bmp,21.021984100341797,21.071374893188477
14,5.97143,i01_04_1.bmp,33.00105285644531,33.30290985107422
15,5.75676,i01_04_2.bmp,29.919998168945312,30.273311614990234
16,5.27027,i01_04_3.bmp,26.84699058532715,27.266128540039062
17,5.24324,i01_04_4.bmp,24.08740234375,24.562171936035156
18,4.71429,i01_04_5.bmp,20.95447540283203,21.466564178466797
19,5.91892,i01_05_1.bmp,32.99777603149414,33.0018196105957
20,5.7027,i01_05_2.bmp,29.997575759887695,30.004846572875977
21,5.08333,i01_05_3.bmp,25.008983612060547,25.04397201538086
22,4.13889,i01_05_4.bmp,20.01919937133789,20.127809524536133
23,3.13889,i01_05_5.bmp,15.016674041748047,15.204644203186035
24,4.0,i01_06_1.bmp,33.33856201171875,32.71806716918945
25,3.89189,i01_06_2.bmp,29.984655380249023,29.347917556762695
26,3.72973,i01_06_3.bmp,26.92868995666504,26.332721710205078
27,3.48571,i01_06_4.bmp,24.043182373046875,23.343212127685547
28,2.94444,i01_06_5.bmp,20.991321563720703,20.391464233398438
29,5.08333,i01_07_1.bmp,33.28892135620117,33.319129943847656
30,4.75,i01_07_2.bmp,30.266237258911133,30.211265563964844
31,4.0,i01_07_3.bmp,27.12799835205078,27.085948944091797
32,3.22222,i01_07_4.bmp,24.069721221923828,23.92326545715332
33,2.19444,i01_07_5.bmp,21.129657745361328,20.63579750061035
34,5.18919,i01_08_1.bmp,34.01247024536133,34.37939453125
35,4.47222,i01_08_2.bmp,29.18564224243164,29.533309936523438
36,3.48649,i01_08_3.bmp,25.33687973022461,25.704471588134766
37,3.0,i01_08_4.bmp,22.81947898864746,23.072006225585938
38,2.11111,i01_08_5.bmp,21.083271026611328,21.175859451293945
39,6.08333,i01_09_1.bmp,32.70259094238281,33.276702880859375
40,5.16667,i01_09_2.bmp,30.141115188598633,30.573328018188477
41,4.42857,i01_09_3.bmp,26.941375732421875,27.097490310668945
42,2.81081,i01_09_4.bmp,24.049043655395508,24.067228317260742
43,1.54054,i01_09_5.bmp,21.0452938079834,20.717529296875
44,5.97297,i01_10_1.bmp,33.12515640258789,33.61656188964844
45,5.94595,i01_10_2.bmp,30.2635498046875,30.91878890991211
46,4.91667,i01_10_3.bmp,27.05712890625,27.297653198242188
47,3.21622,i01_10_4.bmp,23.92538070678711,24.06032371520996
48,2.08108,i01_10_5.bmp,20.900070190429688,20.326126098632812
49,5.91429,i01_11_1.bmp,33.01564025878906,33.616966247558594
50,5.67568,i01_11_2.bmp,30.090091705322266,30.715858459472656
51,4.69444,i01_11_3.bmp,27.178190231323242,27.693002700805664
52,3.67568,i01_11_4.bmp,24.03127670288086,24.03467559814453
53,1.45946,i01_11_5.bmp,21.06275749206543,20.960376739501953
54,5.94595,i01_12_1.bmp,32.67510223388672,37.82048034667969
55,5.86486,i01_12_2.bmp,31.08238410949707,36.0098991394043
56,4.21622,i01_12_3.bmp,27.185230255126953,27.30776596069336
57,3.83333,i01_12_4.bmp,23.929458618164062,24.128467559814453
58,3.43243,i01_12_5.bmp,21.312360763549805,21.454078674316406
59,5.45946,i01_13_1.bmp,33.86883544921875,33.851619720458984
60,3.91429,i01_13_2.bmp,29.49796485900879,28.928319931030273
61,3.27778,i01_13_3.bmp,27.070533752441406,27.011262893676758
62,3.16667,i01_13_4.bmp,24.31789779663086,24.21038818359375
63,3.10811,i01_13_5.bmp,20.781665802001953,20.370071411132812
64,5.69444,i01_14_1.bmp,32.90883255004883,32.27737045288086
65,6.05405,i01_14_2.bmp,29.754634857177734,30.419490814208984
66,5.75676,i01_14_3.bmp,27.086076736450195,27.426124572753906
67,5.55556,i01_14_4.bmp,25.35769271850586,26.03636932373047
68,4.47059,i01_14_5.bmp,23.564355850219727,23.522598266601562
69,2.83333,i01_15_1.bmp,26.903488159179688,21.423507690429688
70,2.82857,i01_15_2.bmp,25.93039321899414,20.323558807373047
71,3.10811,i01_15_3.bmp,25.394657135009766,19.38024139404297
72,3.58333,i01_15_4.bmp,24.731101989746094,17.47037124633789
73,3.89189,i01_15_5.bmp,24.336959838867188,15.394622802734375
74,5.80556,i01_16_1.bmp,32.57087326049805,32.574737548828125
75,6.05405,i01_16_2.bmp,28.130775451660156,28.130775451660156
76,4.88889,i01_16_3.bmp,22.130319595336914,22.156450271606445
77,5.02778,i01_16_4.bmp,18.58838653564453,18.58838653564453
78,4.19444,i01_16_5.bmp,16.27094078063965,16.44788360595703
79,5.35135,i01_17_1.bmp,35.947593688964844,34.74850082397461
80,6.62162,i01_17_2.bmp,30.005456924438477,28.92139434814453
81,4.08108,i01_17_3.bmp,27.977581024169922,26.751811981201172
82,6.24324,i01_17_4.bmp,23.50811767578125,22.747400283813477
83,2.97143,i01_17_5.bmp,21.960895538330078,20.69744873046875
84,4.62162,i01_18_1.bmp,33.05130386352539,31.11745834350586
85,4.22222,i01_18_2.bmp,30.170570373535156,28.238420486450195
86,3.77143,i01_18_3.bmp,27.00597381591797,25.19890785217285
87,3.47222,i01_18_4.bmp,23.9840030670166,22.2569580078125
88,3.41667,i01_18_5.bmp,20.992536544799805,19.098602294921875
89,5.94444,i01_19_1.bmp,33.01723861694336,33.505367279052734
90,5.47222,i01_19_2.bmp,30.01380729675293,30.48507308959961
91,5.08108,i01_19_3.bmp,27.013757705688477,27.57541847229004
92,4.52778,i01_19_4.bmp,23.9765625,24.540796279907227
93,3.94444,i01_19_5.bmp,21.00408935546875,21.479480743408203
94,5.85714,i01_20_1.bmp,33.05241394042969,33.69147491455078
95,5.83333,i01_20_2.bmp,29.98306655883789,30.71828842163086
96,6.02778,i01_20_3.bmp,27.04677391052246,27.840839385986328
97,5.08333,i01_20_4.bmp,23.961849212646484,24.863731384277344
98,4.33333,i01_20_5.bmp,20.949556350708008,21.755290985107422
99,5.7027,i01_21_1.bmp,33.02598571777344,33.47856140136719
100,5.27778,i01_21_2.bmp,29.964027404785156,30.4411678314209
101,4.67568,i01_21_3.bmp,26.98777198791504,27.47015953063965
102,4.05714,i01_21_4.bmp,23.99053955078125,24.487720489501953
103,3.05405,i01_21_5.bmp,21.00834083557129,21.3113956451416
104,5.55556,i01_22_1.bmp,32.96527862548828,32.778011322021484
105,5.18919,i01_22_2.bmp,30.12296485900879,29.832904815673828
106,4.30556,i01_22_3.bmp,26.678699493408203,26.16119384765625
107,3.16216,i01_22_4.bmp,24.83087730407715,24.51081085205078
108,2.19444,i01_22_5.bmp,20.813905715942383,20.932689666748047
109,6.28571,i01_23_1.bmp,32.93380355834961,32.78596878051758
110,5.61111,i01_23_2.bmp,27.758846282958984,27.584753036499023
111,5.77778,i01_23_3.bmp,24.851707458496094,24.683486938476562
112,4.80556,i01_23_4.bmp,22.904388427734375,22.71481704711914
113,2.40541,i01_23_5.bmp,20.616744995117188,20.057662963867188
114,5.7027,i01_24_1.bmp,32.9869384765625,33.3822135925293
115,5.58333,i01_24_2.bmp,30.000455856323242,30.333803176879883
116,5.10811,i01_24_3.bmp,27.000978469848633,27.37787437438965
117,3.08108,i01_24_4.bmp,24.013164520263672,24.420700073242188
118,0.45946,i01_24_5.bmp,20.92831039428711,20.922237396240234
119,5.74286,i02_01_1.bmp,33.078887939453125,33.07647705078125
120,5.34286,i02_01_2.bmp,30.09067153930664,30.128437042236328
121,5.22222,i02_01_3.bmp,27.072904586791992,27.123584747314453
122,4.19444,i02_01_4.bmp,24.150144577026367,24.199026107788086
123,3.97297,i02_01_5.bmp,21.27825927734375,21.29985809326172
124,6.05556,i02_02_1.bmp,33.28590774536133,33.3092155456543
125,6.05405,i02_02_2.bmp,30.304792404174805,30.32662582397461
126,5.88889,i02_02_3.bmp,27.338958740234375,27.386966705322266
127,5.2973,i02_02_4.bmp,24.53780174255371,24.540298461914062
128,4.38889,i02_02_5.bmp,21.70563507080078,21.66893196105957
129,4.8,i02_03_1.bmp,33.08613967895508,33.138916015625
130,4.43243,i02_03_2.bmp,30.116823196411133,30.143556594848633
131,3.83784,i02_03_3.bmp,27.080665588378906,27.11127471923828
